"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",23.718,25.971,23.698,25.288,14677055,0
"2009-01-05",25.517,25.787,23.971,24.762,15898147,0
"2009-01-06",25.455,25.744,24.884,25.306,12011940,0
"2009-01-07",22.99,24.115,22.503,22.737,16912225,0
"2009-01-08",22.199,23.841,21.966,23.718,9572718,0
"2009-01-09",23.799,23.971,22.443,22.568,9720187,0
"2009-01-12",21.297,21.403,20.357,21.003,15005759,0
"2009-01-13",20.357,20.836,19.417,19.94,21512457,0
"2009-01-14",19.293,19.647,18.269,18.854,15997202,0
"2009-01-15",18.645,20.002,18.187,19.564,14197816,0
"2009-01-16",20.128,20.337,18.708,19.689,11616575,0
"2009-01-20",19.104,19.439,17.434,17.434,14975481,0
"2009-01-21",17.998,17.998,16.725,17.873,19054094,0
"2009-01-22",17.559,17.747,17.039,17.226,12508831,0
"2009-01-23",16.703,18.123,16.495,17.392,13709495,0
"2009-01-26",17.518,18.102,17.142,17.434,11087389,0
"2009-01-27",17.643,18.123,17.434,17.977,8297752,0
"2009-01-28",18.562,18.791,17.894,18.269,12473664,0
"2009-01-29",17.832,17.873,17.121,17.623,11104274,0
"2009-01-30",17.705,17.747,16.161,16.265,12732110,0
"2009-02-02",16.223,16.599,15.722,16.056,9217124,0
"2009-02-03",16.474,16.892,16.202,16.787,9922325,0
"2009-02-04",16.849,17.226,16.202,16.328,11462577,0
"2009-02-05",16.265,17.183,15.785,16.828,12287105,0
"2009-02-06",17.203,17.956,17.039,17.538,10976446,0
"2009-02-09",17.789,18.583,17.456,17.747,11190924,0
"2009-02-10",17.894,18.478,15.806,15.973,21305517,0
"2009-02-11",16.495,16.578,15.722,16.077,12198191,0
"2009-02-12",16.183,16.349,15.054,15.681,19257668,0
"2009-02-13",15.868,15.973,15.346,15.619,10937995,0
"2009-02-17",14.95,15.243,14.093,14.093,15577491,0
"2009-02-18",14.24,14.385,13.342,13.55,14941416,0
"2009-02-19",13.99,14.24,13.259,13.259,9526903,0
