"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",10.959,11.659,10.907,11.622,208043955,0
"2009-01-05",11.923,12.318,11.872,12.112,329453938,0
"2009-01-06",12.289,12.442,11.831,11.912,359535607,0
"2009-01-07",11.732,11.844,11.558,11.656,209985787,0
"2009-01-08",11.584,11.928,11.531,11.871,184843882,0
"2009-01-09",11.936,11.96,11.543,11.598,152459734,0
"2009-01-12",11.583,11.654,11.213,11.353,171579281,0
"2009-01-13",11.311,11.493,11.058,11.233,222068162,0
"2009-01-14",11.044,11.174,10.849,10.928,282121166,0
"2009-01-15",10.309,10.773,10.252,10.679,510782667,0
"2009-01-16",10.792,10.806,10.295,10.543,292005908,0
"2009-01-20",10.496,10.5,10.014,10.014,253140675,0
"2009-01-21",10.18,10.614,10.156,10.608,298112397,0
"2009-01-22",11.271,11.526,10.989,11.314,386943024,0
"2009-01-23",11.134,11.509,11.078,11.314,211775201,0
"2009-01-26",11.382,11.651,11.307,11.479,193041670,0
"2009-01-27",11.539,11.725,11.493,11.619,169941977,0
"2009-01-28",11.801,12.167,11.718,12.063,240218267,0
"2009-01-29",11.92,12.081,11.858,11.91,164466842,0
"2009-01-30",11.861,11.989,11.527,11.543,181673776,0
"2009-02-02",11.399,11.782,11.385,11.719,155622254,0
"2009-02-03",11.755,11.96,11.56,11.907,162584114,0
"2009-02-04",11.951,12.327,11.921,11.98,224281427,0
"2009-02-05",11.882,12.452,11.861,12.355,204875865,0
"2009-02-06",12.428,12.807,12.42,12.77,188065177,0
"2009-02-09",12.807,13.19,12.743,13.127,197915319,0
"2009-02-10",12.954,13.127,12.427,12.53,233751877,0
"2009-02-11",12.347,12.59,12.263,12.397,187137663,0
"2009-02-12",12.271,12.773,12.271,12.713,225165155,0
"2009-02-13",12.692,12.798,12.565,12.699,169016433,0
"2009-02-17",12.42,12.424,12.074,12.106,184181312,0
"2009-02-18",12.185,12.274,11.873,12.085,190124683,0
"2009-02-19",11.951,12.069,11.54,11.606,251460545,0
"2009-02-20",11.461,11.833,11.399,11.679,209116481,0
"2009-02-23",11.732,11.782,11.08,11.134,209811560,0
"2009-02-24",11.174,11.641,11.14,11.556,210814219,0
"2009-02-25",11.508,11.9,11.431,11.674,227961051,0
"2009-02-26",11.796,11.9,11.393,11.422,172113392,0
"2009-02-27",11.271,11.691,11.228,11.438,196215342,0
"2009-03-02",11.27,11.679,11.228,11.264,212888353,0
"2009-03-03",11.411,11.62,11.256,11.315,201029452,0
"2009-03-04",11.545,11.88,11.456,11.676,206612596,0
"2009-03-05",11.556,11.765,11.326,11.377,196656849,0
"2009-03-06",11.31,11.32,10.543,10.924,281668441,0
"2009-03-09",10.764,11.218,10.575,10.642,194747028,0
"2009-03-10",10.856,11.421,10.803,11.349,235466311,0
"2009-03-11",11.513,12.046,11.472,11.868,236044586,0
"2009-03-12",11.898,12.37,11.782,12.34,214312799,0
"2009-03-13",12.334,12.446,12.168,12.285,167664420,0
"2009-03-16",12.362,12.471,12.06,12.219,222349209,0
"2009-03-17",12.195,12.766,12.175,12.762,219600784,0
"2009-03-18",12.79,13.252,12.77,13,222004745,0
"2009-03-19",13.057,13.214,12.839,13.014,139491556,0
"2009-03-20",13.08,13.204,12.88,13.01,194000264,0
"2009-03-23",13.148,13.849,13.031,13.79,185846682,0
"2009-03-24",13.59,14.017,13.497,13.638,178689921,0
"2009-03-25",13.769,13.874,13.302,13.637,180333974,0
"2009-03-26",13.822,14.082,13.779,14.069,171794055,0
"2009-03-27",13.894,13.897,13.626,13.682,137454186,0
