"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",27.64,28.711,27.64,28.6,4459100,0
"2009-01-05",28.413,29.025,27.812,28.727,5261280,0
"2009-01-06",27.953,28.838,27.869,28.37,4732745,0
"2009-01-07",27.914,28.922,26.789,28.693,6406748,0
"2009-01-08",28.251,28.583,28.193,28.405,3771644,0
"2009-01-09",28.455,28.982,28.125,28.65,5151445,0
"2009-01-12",28.583,28.583,27.708,28.056,5599454,0
"2009-01-13",28.074,29.56,27.692,28.939,9429668,0
"2009-01-14",28.762,28.762,27.011,27.555,8585409,0
"2009-01-15",27.437,27.962,26.638,27.734,5759646,0
"2009-01-16",28.031,28.193,27.232,27.758,4900748,0
"2009-01-20",27.589,27.775,26.961,27.08,6208584,0
"2009-01-21",27.606,28.413,27.096,28.015,5700208,0
"2009-01-22",27.869,27.869,26.798,26.893,7485246,0
"2009-01-23",26.256,27.046,26.256,26.655,4290182,0
"2009-01-26",26.909,27.437,26.332,27.199,4580160,0
"2009-01-27",27.19,27.812,27.011,27.505,3498601,0
"2009-01-28",27.563,28.413,27.139,28.175,4111155,0
"2009-01-29",27.726,27.812,26.758,27.325,3928727,0
"2009-01-30",27.469,27.469,26.579,26.807,6103152,0
"2009-02-02",26.519,27.096,26.272,27.02,3156015,0
"2009-02-03",26.919,28.022,26.689,27.929,6028154,0
"2009-02-04",27.929,28.405,27.843,28.125,3875071,0
"2009-02-05",27.923,27.923,27.07,27.699,4736022,0
"2009-02-06",27.775,28.311,27.454,28.133,3225822,0
"2009-02-09",28.082,28.337,27.657,28.031,2747282,0
"2009-02-10",27.623,28.242,27.114,27.19,4401341,0
"2009-02-11",27.479,27.606,26.927,27.088,4149717,0
"2009-02-12",26.858,26.883,25.96,26.722,5808094,0
"2009-02-13",26.451,27.096,25.933,26.29,5242294,0
"2009-02-17",26.069,26.247,25.457,25.762,4769880,0
"2009-02-18",25.49,26.909,25.49,26.34,5764916,0
"2009-02-19",26.493,26.874,26.086,26.17,4037397,0
"2009-02-20",25.135,26.026,25.059,25.465,5865939,0
"2009-02-23",25.78,25.78,24.521,24.54,4054348,0
"2009-02-24",24.683,24.964,24.191,24.879,3879264,0
"2009-02-25",24.701,25.499,24.658,25.176,4038141,0
"2009-02-26",25.49,25.661,24.455,24.616,4278675,0
"2009-02-27",24.234,25.219,23.834,24.793,4497004,0
"2009-03-02",24.295,24.488,23.63,23.647,4825692,0
"2009-03-03",23.894,25.203,23.173,23.614,8398183,0
"2009-03-04",23.946,24.114,23.494,23.938,5946889,0
"2009-03-05",23.919,23.919,23.299,23.546,4122880,0
"2009-03-06",23.52,24.022,23.325,23.784,5119034,0
"2009-03-09",23.766,23.844,22.935,23.01,5066866,0
"2009-03-10",23.206,24.03,23.104,24.005,5071255,0
"2009-03-11",24.176,24.906,24.081,24.565,6381901,0
"2009-03-12",24.71,25.678,24.234,25.527,7285699,0
"2009-03-13",25.643,25.839,25.287,25.584,4132550,0
"2009-03-16",25.858,25.908,25.074,25.465,3516317,0
