"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",154.3,160.91,152.75,160.66,7221000,0
"2009-01-05",160.5,165.62,157.5,164.02,9778000,0
"2009-01-06",166.49,170.4,163.2,167.03,12850400,0
"2009-01-07",164.16,165.46,159.38,161,8989000,0
"2009-01-08",159.14,162.6,158.67,162.6,7201400,0
"2009-01-09",163.75,163.75,156.7,157.54,8681000,0
"2009-01-12",158.16,159.48,155.12,156.34,6608600,0
"2009-01-13",155.88,160.3,155.2,157.16,8865000,0
"2009-01-14",155,156.9,148.88,150.49,10935800,0
"2009-01-15",148.78,151.79,143.4,149.5,11869000,0
"2009-01-16",152.51,154.12,147.85,149.84,10448800,0
"2009-01-20",149.57,149.75,141.38,141.38,10096400,0
"2009-01-21",144.18,151.75,144.18,151.54,9849000,0
"2009-01-22",149.02,154.68,147.57,153.25,16534000,0
"2009-01-23",154.64,165.98,152.11,162.35,21465600,0
"2009-01-26",162.43,164,160.28,161.94,9221400,0
"2009-01-27",163.22,166.94,162.14,165.74,9854600,0
"2009-01-28",168.99,176.16,168.16,174.34,15382800,0
"2009-01-29",172.27,172.52,170.06,171.66,14567600,0
"2009-01-30",172.34,174.4,168,169.26,9344000,0
"2009-02-02",167.14,172.5,166,170.28,10413800,0
"2009-02-03",171.28,171.5,166.92,170.22,13113000,0
"2009-02-04",170.04,177.22,169.58,171.5,13634800,0
"2009-02-05",170.46,177.69,168.5,176.86,14528800,0
"2009-02-06",178.23,186.9,177.72,185.64,14076200,0
"2009-02-09",185.64,190.5,183.65,189.38,9954600,0
"2009-02-10",187.99,188.75,178.94,179.26,14207400,0
"2009-02-11",179.48,182.5,176.5,179.02,10463200,0
"2009-02-12",176.58,181.81,175.74,181.52,11100600,0
"2009-02-13",181.1,181.5,177.62,178.84,8293400,0
"2009-02-17",173.26,173.54,169.84,171.33,11360800,0
"2009-02-18",173.62,176.69,170.26,176.56,12049000,0
"2009-02-19",178.74,179.9,170.7,171.32,9977400,0
"2009-02-20",169.02,174.46,167.5,173.22,12434200,0
"2009-02-23",173.5,174.9,164.78,165.03,10442200,0
"2009-02-24",165.51,174.81,165.44,172.72,12191800,0
"2009-02-25",171.08,176.15,169.46,170.82,12878200,0
"2009-02-26",172.98,176.24,168.58,168.59,11211200,0
"2009-02-27",166.48,171.91,165.56,169,10840000,0
"2009-03-02",166.66,170.35,163,163.58,11577000,0
"2009-03-03",165.04,166.84,161.18,162.74,13049600,0
"2009-03-04",161.58,164.5,157.69,159.46,15636800,0
"2009-03-05",158.24,159.54,151.32,152.82,13059800,0
"2009-03-06",153.61,155.1,147.12,154.28,14468400,0
"2009-03-09",149.99,153.28,144.72,145.44,12942600,0
"2009-03-10",149.12,155.25,147.12,154.08,13460400,0
"2009-03-11",155.05,160,152.85,158.96,11847200,0
"2009-03-12",158.77,162.5,156.82,161.76,10048200,0
"2009-03-13",163.05,163.73,159.51,162.21,7812800,0
"2009-03-16",163,164.86,159.29,159.84,9893600,0
"2009-03-17",160.09,167.67,159.54,167.67,9425000,0
"2009-03-18",167.4,170,164.02,166.55,10024400,0
"2009-03-19",165.84,168,163.69,164.97,8222400,0
"2009-03-20",165.15,166.5,163.17,165.08,9475800,0
"2009-03-23",166.78,174.72,166.52,174.3,8543000,0
"2009-03-24",173.25,176.92,172,173.58,7640000,0
"2009-03-25",175.2,175.67,168.12,172.04,8672600,0
"2009-03-26",176.56,179.58,174.25,176.64,12006600,0
"2009-03-27",175,176,172.74,173.85,6645600,0
"2009-03-30",171.28,171.9,168.02,171.34,6188200,0
"2009-03-31",174.46,176.76,173.09,174.03,7310600,0
"2009-04-01",171.89,177.62,170.3,177.04,6602400,0
"2009-04-02",181.66,184.88,180.16,181.25,8976000,0
"2009-04-03",182.25,185.86,179,184.89,7579600,0
"2009-04-06",183.5,184.91,180.7,184.12,6560600,0
"2009-04-07",181.3,181.88,177.66,179.32,7360200,0
"2009-04-08",181.75,182.5,178.1,181,5530400,0
"2009-04-09",184.75,187.18,183.12,186.25,6765200,0
"2009-04-13",185.66,189.55,185.15,189.06,6100200,0
"2009-04-14",188.47,188.5,182.8,184.46,6857200,0
"2009-04-15",183.55,190.53,182.08,189.75,9861400,0
"2009-04-16",190.75,196.45,190.51,194.37,20370200,0
"2009-04-17",193.01,199.91,192.4,196.12,21461600,0
"2009-04-20",193.08,195.32,187.94,189.65,8857800,0
"2009-04-21",188.08,192.15,188.05,190.74,7390800,0
"2009-04-22",190.88,195,189.5,191.93,7003600,0
"2009-04-23",193.76,194.88,190.56,192.34,5218000,0
"2009-04-24",193.02,196.59,190.25,194.74,6770800,0
"2009-04-27",192.17,194.74,191.38,192.98,4581200,0
"2009-04-28",191.88,194.52,190.77,191.86,5887200,0
"2009-04-29",192.98,197.48,192.92,195.74,7220000,0
"2009-04-30",197.88,201.88,197.4,197.98,8711400,0
"2009-05-01",197.52,198.8,195.78,196.84,4855400,0
"2009-05-04",199.08,201.2,197.4,200.99,6406000,0
"2009-05-05",199.99,202.5,198.62,201.5,4801600,0
"2009-05-06",203.4,204.14,200.5,201.74,5265800,0
"2009-05-07",202.05,202.5,196.25,198.3,5999600,0
"2009-05-08",201.42,205.06,197.5,203.66,7730200,0
"2009-05-11",201.4,206,200.6,203.99,5118600,0
"2009-05-12",205,205.5,197.56,199.5,7581600,0
"2009-05-13",197.04,198.2,194.18,194.77,5685600,0
"2009-05-14",194.4,196.1,192.34,193.75,5874000,0
"2009-05-15",195.55,197.06,194.54,195,6017400,0
"2009-05-18",197.36,198.66,192.7,198.42,6703400,0
"2009-05-19",198.05,200.82,196.5,199.44,5675000,0
"2009-05-20",201.04,202.84,197.5,198.59,4568000,0
"2009-05-21",198.15,201.42,196.92,198.25,5439600,0
"2009-05-22",198.33,199.32,196,196.75,3437200,0
"2009-05-26",195.98,202.5,195,202.18,6209000,0
"2009-05-27",202.82,205.93,202.4,202.78,6068600,0
"2009-05-28",204.34,205.81,202.3,205.2,5337600,0
"2009-05-29",206.06,208.62,205.35,208.62,5296400,0
"2009-06-01",209.36,214.8,209.26,213.28,6644800,0
"2009-06-02",213.12,214.98,211.7,214.2,5247200,0
"2009-06-03",213,216.23,212,215.82,7065600,0
"2009-06-04",217.65,220.62,217.25,220.14,7276200,0
"2009-06-05",222.54,223.67,219.73,222.16,7361600,0
"2009-06-08",219.75,220.46,217.06,219.38,6197400,0
"2009-06-09",219.29,220.25,215.88,217.81,6509800,0
"2009-06-10",218.12,218.94,213.34,216.3,6717800,0
"2009-06-11",215.88,216.86,214.18,214.5,5730400,0
"2009-06-12",213.43,213.85,210.6,212.42,5836800,0
"2009-06-15",210.75,210.75,207,208.38,7473800,0
"2009-06-16",209.66,210.54,207.71,208,6099400,0
"2009-06-17",208.1,209.86,205.78,207.58,6980200,0
"2009-06-18",207.84,209.34,206.5,207.03,6170400,0
"2009-06-19",209.1,210.23,207.29,210.04,8518200,0
"2009-06-22",208.48,208.74,200.94,203.68,8248800,0
"2009-06-23",203.32,204.5,201.28,202.84,5799200,0
"2009-06-24",204.37,206.12,203.28,204.64,4915600,0
"2009-06-25",203.5,207.95,203.26,207.88,6089000,0
"2009-06-26",206.84,214.12,206.56,212.66,6513400,0
"2009-06-29",213,213.9,211.12,212.07,4338600,0
"2009-06-30",212,213.6,209.11,210.8,5187800,0
"2009-07-01",212.1,213.2,209.08,209.5,4621600,0
