"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-05",4.29,4.72,4.29,4.72,178,0
"2009-01-21",3.9,3.9,3.15,3.15,342,0
"2009-01-27",3.6,3.6,3.6,3.6,200,0
"2009-01-28",3.6,3.7,3.15,3.7,366,0
"2009-02-02",3.15,3.15,3.15,3.15,163,0
"2009-02-03",3.24,3.24,3.24,3.24,33,0
"2009-02-09",3.57,3.57,3.57,3.57,33,0
"2009-02-10",3.57,3.59,3.57,3.59,66,0
"2009-02-13",3.24,3.24,3.15,3.15,1001,0
"2009-02-19",3.15,3.15,3.15,3.15,533,0
"2009-02-20",3,3,2.97,2.97,926,0
"2009-02-23",2.7,2.7,2.7,2.7,333,0
"2009-02-25",2.5,2.64,2.28,2.28,583,0
"2009-02-26",2.64,2.64,2.25,2.25,597,0
"2009-02-27",2.35,2.35,2.35,2.35,119,0
"2009-03-02",2.49,2.94,2.25,2.4,833,0
"2009-03-04",2.37,3.75,2.37,3.75,2014,0
"2009-03-06",3,3,3,3,33,0
"2009-03-10",3.36,3.78,2.7,2.7,466,0
"2009-03-11",2.67,2.67,2.67,2.67,166,0
"2009-03-13",2.86,2.86,2.85,2.85,200,0
"2009-03-19",2.9,2.9,2.76,2.76,797,0
"2009-03-23",3.21,3.21,3.21,3.21,33,0
"2009-03-24",2.76,2.76,2.76,2.76,999,0
"2009-03-30",3.51,3.51,3.51,3.51,66,0
"2009-03-31",3.18,3.36,3.18,3.36,66,0
"2009-04-03",3.84,4.35,3.84,4.35,366,0
"2009-04-06",3.6,3.6,3.3,3.3,333,0
"2009-04-08",3.6,3.6,3.6,3.6,116,0
"2009-04-15",3.6,3.6,3.6,3.6,66,0
"2009-04-16",3.63,3.63,3.45,3.45,666,0
"2009-04-17",3.45,3.45,3.45,3.45,63,0
"2009-04-30",3.6,3.6,3.6,3.6,166,0
"2009-05-04",3.6,3.6,3.45,3.45,1937,0
"2009-05-06",3.54,3.54,3,3,1033,0
"2009-05-07",3,6.9,3,5.1,6693,0
"2009-05-08",6.6,7.5,5.1,6,3158,0
"2009-05-11",5.97,6,5.88,5.88,2399,0
"2009-05-12",5.91,6.57,5.91,6.3,1193,0
"2009-05-13",5.1,7.2,5.1,6.27,1147,0
"2009-05-15",6.3,6.3,6.3,6.3,33,0
"2009-05-18",6.3,6.3,6.3,6.3,66,0
"2009-05-19",6.15,6.15,5.25,5.25,177,0
"2009-05-20",6.15,6.15,6.15,6.15,886,0
"2009-05-22",5.25,6.6,3.57,3.6,955,0
"2009-05-26",3.6,6.5,3.6,5.97,244,0
"2009-05-27",6,6,4.55,4.55,1186,0
"2009-05-28",4.71,5.95,4.5,5.73,1729,0
"2009-05-29",5.76,6,4.58,6,2123,0
"2009-06-01",4.86,4.86,3.87,4.35,1064,0
"2009-06-02",5.22,5.4,4.35,4.35,200,0
"2009-06-03",5.93,5.93,4.5,5.24,1066,0
"2009-06-04",4.65,5.55,4.2,4.38,753,0
"2009-06-05",5.34,5.34,4.41,4.65,266,0
"2009-06-08",5.31,5.31,5.31,5.31,266,0
"2009-06-09",4.29,5.7,4.2,5.7,773,0
"2009-06-10",4.38,5.18,4.38,4.77,2139,0
"2009-06-11",4.77,4.77,4.44,4.44,1371,0
"2009-06-12",4.5,5.31,4.5,4.53,1066,0
"2009-06-16",4.5,4.8,4.5,4.5,400,0
"2009-06-18",4.5,4.5,4.5,4.5,33,0
"2009-06-19",4.5,4.65,4.5,4.65,566,0
"2009-06-22",4.35,4.35,4.35,4.35,333,0
"2009-06-23",4.35,4.35,4.05,4.05,1933,0
"2009-06-24",4.2,4.2,4.2,4.2,533,0
"2009-06-25",4.56,4.56,4.56,4.56,100,0
"2009-06-26",4.44,4.44,4.05,4.07,591,0
"2009-06-29",4.05,4.05,4.05,4.05,308,0
"2009-06-30",4.2,4.2,3.96,4.05,1163,0
"2009-07-01",4.05,4.05,3.6,3.6,1833,0
"2009-07-02",4.05,4.05,4.05,4.05,500,0
"2009-07-06",4.35,4.5,4.35,4.49,577,0
"2009-07-07",4.05,4.05,4.05,4.05,999,0
"2009-07-08",4.39,4.39,4.05,4.05,1033,0
"2009-07-09",3.9,4.35,3.9,4.2,266,0
"2009-07-10",3.63,3.87,3.33,3.6,1100,0
"2009-07-14",4.11,4.11,4.11,4.11,66,0
"2009-07-16",3.92,3.92,3.92,3.92,38,0
"2009-07-20",3.6,4.09,3.6,4.09,450,0
"2009-07-21",3.39,3.78,3.24,3.78,783,0
"2009-07-23",3.45,3.45,3.45,3.45,33,0
"2009-07-24",3.45,3.45,3.45,3.45,0,0
"2009-07-27",3.45,3.45,3.45,3.45,0,0
"2009-07-28",3.45,3.45,3.45,3.45,0,0
"2009-07-29",3.3,4.35,3.3,3.75,1788,0
"2009-07-30",4.28,4.28,4.28,4.28,33,0
"2009-07-31",4.28,4.28,4.28,4.28,0,0
"2009-08-03",3.81,4.26,3.6,4.26,1018,0
"2009-08-04",4.2,4.35,4.2,4.28,1825,0
"2009-08-05",3.75,4.23,3.75,4.17,1033,0
"2009-08-06",4.17,4.17,4.17,4.17,0,0
"2009-08-07",4.17,4.23,3.75,3.75,1216,0
"2009-08-10",3.75,3.75,3.75,3.75,0,0
"2009-08-11",4.2,4.5,4.2,4.5,1575,0
"2009-08-12",4.65,4.65,3.9,4.65,291,0
"2009-08-13",4.35,4.35,4.35,4.35,166,0
"2009-08-14",3.63,4.48,3.63,4.35,766,0
"2009-08-17",4.65,4.95,4.5,4.7,993,0
"2009-08-18",4.86,4.95,4.65,4.89,1083,0
"2009-08-19",4.95,4.95,3.72,3.72,800,0
"2009-08-21",4.2,4.65,4.2,4.65,833,0
"2009-08-24",4.2,4.77,4.19,4.76,1442,0
"2009-08-25",3.75,4.5,3.75,4.5,756,0
"2009-08-26",4.2,4.2,4.2,4.2,166,0
"2009-08-28",3.78,4.05,3.75,3.9,3177,0
"2009-08-31",3.66,3.75,3.6,3.6,3279,0
"2009-09-01",3.6,3.6,3.6,3.6,166,0
"2009-09-02",3.9,3.9,3.9,3.9,50,0
"2009-09-03",3.66,3.7,3.63,3.7,899,0
"2009-09-04",3.63,3.9,3.63,3.9,533,0
"2009-09-09",3.87,3.89,3.75,3.75,403,0
"2009-09-11",3.75,3.75,3.75,3.75,833,0
"2009-09-14",3.93,3.93,3.66,3.92,366,0
"2009-09-15",3.87,3.87,3.87,3.87,33,0
"2009-09-16",3.63,3.75,3.63,3.75,2666,0
"2009-09-21",3.66,3.86,3.63,3.86,869,0
"2009-09-23",3.75,3.75,3.6,3.6,2190,0
"2009-09-30",3.63,3.63,3.63,3.63,66,0
"2009-10-01",3.6,3.6,3.6,3.6,686,0
"2009-10-05",3.6,3.6,3.6,3.6,1313,0
"2009-10-08",3.45,3.45,3.45,3.45,133,0
"2009-10-09",3.6,3.6,3.36,3.36,300,0
"2009-10-12",3.36,3.36,3.36,3.36,585,0
"2009-10-13",3.36,3.36,3.3,3.3,500,0
"2009-10-15",3.3,3.45,3.3,3.3,366,0
"2009-10-16",3.3,3.3,3.3,3.3,333,0
"2009-10-19",3.24,3.5,3.24,3.5,366,0
"2009-10-26",3.33,3.33,3.33,3.33,33,0
"2009-10-28",3.33,3.33,3.33,3.33,166,0
"2009-10-30",3.51,3.51,3.45,3.45,320,0
"2009-11-02",3.33,3.33,3.33,3.33,33,0
"2009-11-03",3.33,3.33,3.3,3.3,598,0
"2009-11-04",3.3,3.3,3.15,3.15,642,0
"2009-11-06",3.3,3.45,3.3,3.45,249,0
"2009-11-11",3.75,3.75,3.6,3.6,333,0
"2009-11-12",3.3,3.3,3.3,3.3,33,0
"2009-11-16",3.3,3.3,3.3,3.3,66,0
"2009-11-17",3.45,3.45,3.45,3.45,266,0
"2009-11-18",3.54,3.75,3.15,3.15,1899,0
"2009-11-25",3.66,3.66,3.25,3.25,1564,0
"2009-11-30",3.27,4.68,3.15,3.15,7080,0
"2009-12-01",3.24,3.24,3.24,3.24,66,0
"2009-12-04",3.35,3.35,3.35,3.35,100,0
"2009-12-10",3.3,3.3,3.3,3.3,1899,0
"2009-12-11",3.3,3.3,3.24,3.24,666,0
"2009-12-14",3.24,3.24,3.24,3.24,33,0
"2009-12-16",3.3,4.11,3.24,4.11,133,0
"2009-12-17",3.9,3.9,3.27,3.3,372,0
"2009-12-18",3.24,3.24,3.24,3.24,35,0
"2009-12-21",3.87,3.87,3.24,3.27,263,0
"2009-12-23",3.27,3.27,3.24,3.24,1542,0
