"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",70.049,73.141,70.049,72.956,9051258,0
"2009-01-05",72.163,73.205,71.962,72.496,9958652,0
"2009-01-06",72.739,75.493,72.118,74.508,11557210,0
"2009-01-07",73.338,74.15,72.748,73.306,10125435,0
"2009-01-08",73.322,73.599,71.794,72.795,8660633,0
"2009-01-09",72.686,73.064,70.35,70.726,8910335,0
"2009-01-12",70.617,72.313,70.493,71.57,9667109,0
"2009-01-13",71.394,72.304,70.801,71.26,9170058,0
"2009-01-14",70.308,70.827,68.56,69.464,11341120,0
"2009-01-15",69.816,70.835,68.686,70.241,14052966,0
"2009-01-16",70.651,71.594,69.373,70.909,13465952,0
"2009-01-20",70.775,70.909,68.271,68.454,16348249,0
"2009-01-21",72.054,76.488,71.812,76.338,29818598,0
"2009-01-22",75.009,75.771,73.573,75.208,14790914,0
"2009-01-23",73.813,75.736,73.322,74.5,10441063,0
"2009-01-26",74.961,77.379,74.75,76.488,11784326,0
"2009-01-27",76.631,76.795,75.57,76.536,10443073,0
"2009-01-28",77.406,79.277,76.748,79.178,16055017,0
"2009-01-29",78.142,78.974,76.838,77.248,10888696,0
"2009-01-30",77.011,78.057,76.195,76.528,11420119,0
"2009-02-02",75.652,76.703,74.89,75.927,11850260,0
"2009-02-03",76.045,78.265,75.285,78.057,10616738,0
"2009-02-04",78.275,79.251,76.672,77.514,12201746,0
"2009-02-05",76.93,77.824,76.17,77.164,13918459,0
"2009-02-06",77.248,81.081,76.528,80.279,15635490,0
"2009-02-09",80.103,80.981,79.092,80.845,9779063,0
"2009-02-10",79.812,80.845,77.622,77.881,16209972,0
"2009-02-11",78.057,79.97,77.656,79.46,12889410,0
"2009-02-12",78.833,79.493,76.987,79.385,11875397,0
"2009-02-13",79.15,79.477,78.133,78.358,8070129,0
"2009-02-17",76.596,77.231,75.57,75.711,10653085,0
"2009-02-18",76.129,77.029,75.518,76.411,10137358,0
"2009-02-19",76.036,76.957,73.858,74.258,15114653,0
"2009-02-20",73.522,75.068,72.93,74.142,14850397,0
"2009-02-23",74.568,74.59,70.299,70.45,16080317,0
"2009-02-24",70.665,72.713,70.224,72.145,15466945,0
"2009-02-25",71.812,72.748,69.181,71.727,15100602,0
"2009-02-26",72.52,75.317,72.088,74.291,20864335,0
"2009-02-27",73.582,77.89,73.49,76.847,25521832,0
"2009-03-02",76.129,76.739,74.106,74.358,18239989,0
"2009-03-03",75.285,75.301,72.804,73.288,16440298,0
"2009-03-04",74.291,76.186,73.148,74.726,18428135,0
"2009-03-05",73.589,75.285,72.663,73.048,17857426,0
"2009-03-06",73.039,73.689,69.982,71.653,18187498,0
"2009-03-09",70.726,72.48,69.323,69.707,15750639,0
"2009-03-10",71.069,72.857,69.841,72.857,19059339,0
"2009-03-11",73.07,74.767,72.412,73.997,14160032,0
"2009-03-12",73.973,75.652,73.056,75.485,14166409,0
"2009-03-13",75.485,75.693,74.558,75.453,10912272,0
"2009-03-16",76.528,77.656,75.604,76.17,14126916,0
"2009-03-17",76.077,77.582,75.526,77.582,13760418,0
"2009-03-18",74.7,77.575,74.659,76.779,21502944,0
"2009-03-19",77.523,77.949,76.411,77.373,11855482,0
"2009-03-20",77.789,79.326,76.974,77.248,14603744,0
"2009-03-23",78.242,82.422,78.242,82.422,14858712,0
"2009-03-24",81.573,83.126,81.429,82.082,11193869,0
"2009-03-25",82.223,83.384,80.236,81.789,14391266,0
"2009-03-26",82.223,82.834,81.622,82.484,13696784,0
"2009-03-27",80.154,80.162,77.449,78.617,18856128,0
"2009-03-30",76.821,79.108,76.655,78.925,13129479,0
"2009-03-31",79.292,82.385,79.201,80.906,17427438,0
"2009-04-01",80.271,81.831,79.911,81.506,14526446,0
"2009-04-02",82.791,85.162,82.15,84.187,19397940,0
"2009-04-03",83.276,85.721,83.259,85.355,13122247,0
"2009-04-06",84.252,85.048,83.5,84.804,10558194,0
"2009-04-07",83.643,83.918,82.268,82.459,10484543,0
"2009-04-08",83.042,84.796,82.668,84.495,8722754,0
"2009-04-09",85.18,85.547,83.71,84.922,9597071,0
"2009-04-13",83.736,84.88,82.699,83.46,9329702,0
"2009-04-14",82.732,83.46,82.056,82.892,7512946,0
"2009-04-15",82.024,82.716,80.527,82.541,9777307,0
"2009-04-16",83.284,85.104,82.817,84.696,11087590,0
"2009-04-17",84.488,85.205,83.244,84.563,12229352,0
"2009-04-20",83.744,84.495,82.842,83.861,14958449,0
"2009-04-21",82.174,85.573,81.998,85.43,18214919,0
"2009-04-22",84.48,86.725,84.386,85.63,14514696,0
"2009-04-23",85.713,85.822,83.336,84.688,11297558,0
"2009-04-24",84.48,84.822,83.084,83.568,12155852,0
"2009-04-27",83.175,84.912,82.907,83.46,10311511,0
"2009-04-28",82.967,85.783,82.876,85.121,13292732,0
"2009-04-29",85.155,87.677,84.895,86.876,11699238,0
"2009-04-30",87.301,88.557,85.884,86.182,12758473,0
"2009-05-01",86.657,87.56,85.958,87.35,7461811,0
"2009-05-04",87.897,89.138,87.35,88.673,9957876,0
"2009-05-05",88.514,89.19,88.099,88.391,8083634,0
"2009-05-06",87.869,88.091,86.598,87.359,9018817,0
"2009-05-07",87.385,87.508,85.03,85.663,10188082,0
"2009-05-08",86.491,86.633,83.359,84.746,13853957,0
"2009-05-11",84.412,86.741,84.294,85.921,9883575,0
"2009-05-12",85.99,87.16,85.481,86.792,9534690,0
"2009-05-13",85.903,86.09,84.628,85.389,9822661,0
"2009-05-14",84.939,85.765,84.144,84.379,11311044,0
"2009-05-15",84.252,86.065,83.979,84.645,10020657,0
"2009-05-18",85.171,87.435,85.121,87.326,8875537,0
"2009-05-19",87.115,88.612,86.841,88.099,8477204,0
"2009-05-20",88.099,88.498,86.684,86.884,8482178,0
"2009-05-21",86.065,86.214,84.954,85.857,8848649,0
"2009-05-22",85.73,86.266,84.963,85.08,6701867,0
"2009-05-26",84.604,88.205,84.353,87.694,8631881,0
"2009-05-27",87.124,87.816,85.931,85.949,8525916,0
"2009-05-28",86.29,87.792,85.739,87.418,7338104,0
"2009-05-29",87.233,88.929,86.8,88.745,8224583,0
"2009-06-01",89.295,90.749,89.074,90.493,9247083,0
"2009-06-02",89.773,90.859,89.065,89.197,8435908,0
"2009-06-03",88.958,89.021,87.764,88.921,9206926,0
"2009-06-04",88.656,89.235,88.179,88.789,6548962,0
"2009-06-05",89.63,90.519,89.138,89.547,9179422,0
"2009-06-08",89.045,90.158,88.091,89.755,7620952,0
"2009-06-09",90.303,91.132,90.168,90.294,10282269,0
"2009-06-10",91.189,91.232,89.389,90.476,8905093,0
"2009-06-11",90.813,92.39,90.647,91.342,10939094,0
"2009-06-12",90.519,91.232,89.971,90.359,8683466,0
"2009-06-15",89.873,90.887,89.547,89.863,10260286,0
"2009-06-16",90.584,91.132,89.576,89.621,8659668,0
"2009-06-17",89.737,90.079,89.244,89.341,8819866,0
"2009-06-18",89.287,89.792,88.612,88.789,7433234,0
"2009-06-19",88.77,89.055,88.091,88.417,16237939,0
"2009-06-22",87.826,88.409,87.034,87.277,8733719,0
"2009-06-23",87.469,87.569,86.665,87.207,6170573,0
"2009-06-24",88.001,88.913,86.607,86.966,7658739,0
"2009-06-25",86.591,89.171,86.433,88.557,8261272,0
"2009-06-26",88.929,88.929,87.719,88.239,6181929,0
"2009-06-29",88.506,88.664,87.808,88.371,5606751,0
"2009-06-30",88.248,88.541,86.684,87.191,8996959,0
"2009-07-01",87.677,88.737,87.451,87.543,6631356,0
"2009-07-02",86.675,86.767,84.946,84.946,8411510,0
"2009-07-06",84.813,85.364,83.893,84.88,7811232,0
"2009-07-07",84.62,85.138,83.526,83.66,8005521,0
"2009-07-08",83.744,84.48,83.084,84.07,8839037,0
"2009-07-09",84.436,85.822,84.212,85.238,7368889,0
"2009-07-10",84.31,84.939,83.336,84.196,8941039,0
"2009-07-13",84.572,86.549,83.66,86.525,11367915,0
"2009-07-14",86.356,86.525,85.604,86.214,6482239,0
"2009-07-15",87.469,89.529,87.343,89.529,10404051,0
"2009-07-16",89.207,92.659,89.171,92.39,17935315,0
"2009-07-17",94.697,96.469,94.499,96.391,24172618,0
"2009-07-20",95.639,97.594,95.526,97.24,12787928,0
"2009-07-21",96.746,97.74,96.353,97.74,9941779,0
"2009-07-22",97.008,97.858,96.094,96.507,10554290,0
"2009-07-23",96.064,98.535,96.064,97.75,10132507,0
"2009-07-24",97.425,98.664,97.387,98.22,7500173,0
"2009-07-27",97.662,98.475,97.337,98.22,6070513,0
"2009-07-28",97.387,98.132,97.143,97.926,6925251,0
"2009-07-29",97.163,97.926,96.901,97.906,6108538,0
"2009-07-30",98.535,99.68,98.25,98.416,8126302,0
"2009-07-31",98.161,99.357,98.161,98.485,6382629,0
"2009-08-03",99.268,100.17,99.099,100.14,7314960,0
"2009-08-04",99.66,100.03,99.377,99.87,5979811,0
"2009-08-05",98.951,99.357,98.416,98.911,6018569,0
"2009-08-06",98.793,98.862,97.444,98.014,7189203,0
"2009-08-07",98.624,100.13,98.624,99.64,6901886,0
"2009-08-10",98.684,99.52,98.514,99.109,4766723,0
"2009-08-11",98.565,98.941,97.956,98.367,5801618,0
"2009-08-12",98.2,100.17,98.054,99.61,7531710,0
"2009-08-13",99.6,100.01,99.05,99.85,6573701,0
"2009-08-14",99.61,99.98,98.21,99,5743913,0
"2009-08-17",97.435,98.064,97.037,97.574,6406427,0
"2009-08-18",97.544,98.535,97.474,98.22,5133054,0
"2009-08-19",97.163,99.169,96.949,99,5793726,0
"2009-08-20",98.882,99.72,98.614,99.327,5798260,0
"2009-08-21",99.91,100.22,98.991,100.12,9948026,0
"2009-08-24",100.14,100.94,99.456,99.64,7620469,0
"2009-08-25",99.57,100.33,99.119,99.218,5570726,0
"2009-08-26",99.05,100.08,98.122,99.77,5407490,0
"2009-08-27",99.139,99.86,98.406,99.74,5217159,0
"2009-08-28",100.29,100.39,98.348,98.723,7467694,0
"2009-08-31",97.77,98.595,97.632,98.585,6513100,0
"2009-09-01",98.25,99.317,97.28,97.435,7549243,0
"2009-09-02",97.143,97.887,96.852,96.931,5977894,0
"2009-09-03",97.328,97.474,96.15,97.134,5911422,0
"2009-09-04",97.347,98.122,97.037,98.083,4133660,0
"2009-09-08",98.495,98.684,97.387,97.818,6942909,0
"2009-09-09",97.73,98.25,96.989,97.505,6284565,0
"2009-09-10",97.692,98.387,97.495,98.25,5855403,0
"2009-09-11",98.367,99.57,98.093,98.585,7058179,0
"2009-09-14",97.7,99.357,97.652,99.268,5698736,0
"2009-09-15",99.179,99.76,98.674,99.66,7825054,0
"2009-09-16",99.79,101.85,99.62,101.71,13439643,0
"2009-09-17",101.18,102.51,101.09,101.76,10050798,0
"2009-09-18",102.27,102.6,101.55,101.96,11898957,0
"2009-09-21",101.08,101.93,100.94,101.51,5406826,0
"2009-09-22",101.94,101.96,101.04,101.54,6664134,0
"2009-09-23",101.27,102.47,100.79,100.89,6629444,0
