"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",2.45,2.62,2.45,2.57,238987,0
"2009-01-05",2.61,2.61,2.45,2.61,67430,0
"2009-01-06",2.61,2.75,2.53,2.73,82208,0
"2009-01-07",2.68,2.8,2.57,2.74,81499,0
"2009-01-08",2.77,2.88,2.73,2.83,62165,0
"2009-01-09",2.82,2.82,2.41,2.41,108801,0
"2009-01-12",2.36,2.5,2.35,2.4,97031,0
"2009-01-13",2.39,2.42,2.32,2.32,33728,0
"2009-01-14",2.29,2.36,2.1,2.1,106092,0
"2009-01-15",2.11,2.33,2.05,2.31,120043,0
"2009-01-16",2.3,2.38,2.21,2.33,102535,0
"2009-01-20",2.3,2.3,2.16,2.2,82873,0
"2009-01-21",2.25,2.4,2.19,2.37,63998,0
"2009-01-22",2.37,2.38,2.2,2.35,29144,0
"2009-01-23",2.21,3.35,2.2,2.99,637636,0
"2009-01-26",2.8,3.09,2.71,3.02,770478,0
"2009-01-27",3.02,3.11,2.9,3.11,176984,0
"2009-01-28",3.13,3.25,3,3.21,307378,0
"2009-01-29",3.2,3.2,3.03,3.03,124834,0
"2009-01-30",3.08,3.08,2.87,3.06,142277,0
"2009-02-02",3.04,3.32,3.04,3.23,237283,0
"2009-02-03",3.25,3.32,3.03,3.27,190695,0
"2009-02-04",3.28,3.33,3.2,3.2,52501,0
"2009-02-05",3.22,3.24,3.07,3.17,90224,0
"2009-02-06",3.16,3.34,3.1,3.33,146983,0
"2009-02-09",3.31,3.47,3.3,3.45,484314,0
"2009-02-10",3.46,3.6,3.38,3.39,327975,0
"2009-02-11",3.41,3.48,3.4,3.47,55612,0
"2009-02-12",3.39,3.61,3.39,3.55,101183,0
"2009-02-13",3.54,3.72,3.54,3.67,172978,0
"2009-02-17",3.59,3.59,3.34,3.48,149122,0
"2009-02-18",3.51,3.66,3.4,3.61,169980,0
"2009-02-19",3.61,3.7,3.58,3.59,50479,0
"2009-02-20",3.5,3.54,3.28,3.35,131622,0
"2009-02-23",3.39,3.44,3.3,3.35,129645,0
"2009-02-24",3.39,3.44,3.24,3.32,174951,0
"2009-02-25",3.3,3.35,3.11,3.2,62728,0
"2009-02-26",3.05,3.22,2.78,2.78,336632,0
"2009-02-27",2.68,2.79,2.48,2.68,671416,0
"2009-03-02",2.72,2.72,2.46,2.48,104685,0
"2009-03-03",2.48,2.57,2.32,2.34,185297,0
"2009-03-04",2.39,2.5,2.31,2.41,257863,0
"2009-03-05",2.33,2.55,2.33,2.5,157918,0
"2009-03-06",2.52,2.67,2.44,2.53,103598,0
"2009-03-09",2.49,2.5,2.34,2.34,68029,0
"2009-03-10",2.41,2.69,2.33,2.64,107365,0
"2009-03-11",2.65,2.67,2.43,2.5,64901,0
"2009-03-12",2.48,2.7,2.46,2.64,126841,0
