"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",23.952,24.47,23.832,24.378,15524800,0
"2009-01-05",24.73,24.896,23.819,24.006,19036294,0
"2009-01-06",24.436,24.579,23.236,23.564,19115851,0
"2009-01-07",23.284,23.495,22.928,23.19,16170571,0
"2009-01-08",23.336,23.345,22.837,23.087,13387587,0
"2009-01-09",22.725,23.284,22.37,22.592,13501423,0
"2009-01-12",22.592,22.761,22.252,22.41,11288901,0
"2009-01-13",22.34,22.794,22.198,22.361,13749187,0
"2009-01-14",21.962,22.221,21.543,21.878,15568045,0
"2009-01-15",21.87,22.237,21.522,22.111,16122381,0
"2009-01-16",22.331,22.614,21.551,22.166,18461940,0
"2009-01-20",22.119,22.711,21.884,21.928,18517414,0
"2009-01-21",22.198,22.324,21.143,21.676,23170227,0
"2009-01-22",21.427,21.78,21.128,21.584,19392287,0
"2009-01-23",21.81,22.292,21.648,22.04,15706315,0
"2009-01-26",22.072,22.592,21.642,21.853,17982546,0
"2009-01-27",21.907,22.543,21.9,22.31,12263906,0
"2009-01-28",22.693,22.888,22.318,22.63,17230828,0
"2009-01-29",22.427,22.851,22.318,22.755,15058050,0
"2009-01-30",22.684,22.802,22.283,22.451,19736721,0
"2009-02-02",22.088,22.755,22.017,22.354,17801292,0
"2009-02-03",23.495,24.186,22.749,23.778,29699910,0
"2009-02-04",23.786,24.267,23.276,23.512,16503421,0
"2009-02-05",22.487,23.952,22.487,23.668,17436245,0
"2009-02-06",23.597,24.319,23.597,24.193,14076349,0
"2009-02-09",24.107,24.275,23.722,24.101,11099724,0
"2009-02-10",23.961,24.101,22.693,22.811,18271936,0
"2009-02-11",22.881,23.543,22.811,23.37,13120787,0
"2009-02-12",22.984,23.142,22.434,23.072,13821459,0
"2009-02-13",23.015,23.117,22.427,22.606,13163182,0
"2009-02-17",22.126,22.828,21.92,22.495,26193142,0
"2009-02-18",22.576,22.646,22.017,22.519,18252600,0
"2009-02-19",22.749,22.802,22.378,22.434,12539190,0
"2009-02-20",22.427,22.427,21.853,22.097,22513774,0
"2009-02-23",21.718,22.324,21.718,21.92,21833521,0
"2009-02-24",21.944,22.458,21.655,22.434,22557853,0
"2009-02-25",22.166,22.37,21.794,21.944,27688027,0
"2009-02-26",22.149,22.149,20.466,20.474,25285327,0
"2009-02-27",20.028,20.272,19.005,19.03,39319879,0
"2009-03-02",18.73,19.125,18.416,18.431,21137366,0
"2009-03-03",18.62,18.95,17.975,18.125,22994416,0
"2009-03-04",18.251,18.502,17.647,18.219,27432132,0
"2009-03-05",17.771,17.999,17.244,17.412,26204922,0
"2009-03-06",17.573,18.039,17.329,17.883,22930243,0
"2009-03-09",15.844,17.69,15.766,16.506,107019024,0
"2009-03-10",17.008,17.542,16.819,17.455,44180414,0
"2009-03-11",17.412,17.874,17.143,17.252,35796896,0
"2009-03-12",17.189,18.941,17.032,18.896,48826660,0
"2009-03-13",19.074,21.78,19.074,21.284,72812462,0
"2009-03-16",21.216,21.576,20.538,20.607,41565827,0
"2009-03-17",20.453,20.947,20.285,20.924,28684397,0
"2009-03-18",20.681,21.625,20.547,21.199,26922926,0
"2009-03-19",21.253,21.341,20.193,20.474,30609295,0
"2009-03-20",20.932,21.387,20.688,21.009,32638378,0
"2009-03-23",21.387,22.001,21.049,22.001,24752892,0
"2009-03-24",21.71,22.111,21.634,21.818,18766747,0
"2009-03-25",21.988,22.031,21.082,21.625,22151818,0
"2009-03-26",21.836,21.87,21.293,21.684,20042442,0
"2009-03-27",21.175,21.718,21.074,21.358,20688198,0
"2009-03-30",21.057,21.151,20.555,20.876,18500134,0
"2009-03-31",21.082,21.293,20.853,21.034,27847788,0
"2009-04-01",20.829,21.41,20.249,21.224,22911220,0
"2009-04-02",21.396,21.701,20.791,21.232,22854678,0
"2009-04-03",21.232,21.476,20.515,20.806,19691842,0
"2009-04-06",20.666,21.655,20.666,20.971,16154739,0
"2009-04-07",20.868,20.893,20.453,20.657,16940263,0
