"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",16.386,17.106,16.241,17.049,59723535,0
"2009-01-05",16.939,17.335,16.82,17.209,73306066,0
"2009-01-06",17.424,17.611,17.281,17.408,69257146,0
"2009-01-07",16.882,17.014,16.337,16.362,86702951,0
"2009-01-08",16.503,16.931,16.394,16.872,83041478,0
"2009-01-09",16.931,17.023,16.277,16.371,59396590,0
"2009-01-12",16.544,16.595,16.186,16.328,62200550,0
"2009-01-13",16.394,16.763,16.371,16.621,78486382,0
"2009-01-14",16.354,16.503,15.939,16.011,95705890,0
"2009-01-15",16.011,16.186,15.53,16.134,114681624,0
"2009-01-16",16.47,16.696,16.059,16.529,94956118,0
"2009-01-20",16.354,16.452,15.405,15.496,106561890,0
"2009-01-21",15.842,16.31,15.481,16.249,81437730,0
"2009-01-22",15.11,15.245,14.314,14.347,265148737,0
"2009-01-23",14.239,14.667,14.044,14.424,139304028,0
"2009-01-26",14.474,14.934,14.449,14.783,110277180,0
"2009-01-27",14.952,15.068,14.617,14.809,73534267,0
"2009-01-28",14.934,15.354,14.895,15.127,76491959,0
"2009-01-29",14.886,15.061,14.726,14.751,57991260,0
"2009-01-30",14.877,14.918,14.339,14.339,74367050,0
"2009-02-02",14.291,15.203,14.257,14.952,105940485,0
"2009-02-03",14.967,15.607,14.76,15.512,103000603,0
"2009-02-04",15.547,15.931,15.512,15.622,90131080,0
"2009-02-05",15.512,16.051,15.304,15.967,89629652,0
"2009-02-06",16.019,16.713,15.983,16.488,103407661,0
"2009-02-09",16.536,16.578,16.152,16.302,62208781,0
"2009-02-10",16.144,16.605,15.682,15.765,100096340,0
"2009-02-11",15.924,16.345,15.868,16.108,69878733,0
"2009-02-12",15.9,16.203,15.547,16.152,89773740,0
"2009-02-13",16.176,16.328,15.967,16.011,56524909,0
"2009-02-17",15.503,15.512,15.002,15.172,90419547,0
"2009-02-18",15.262,15.473,15.094,15.194,65515905,0
"2009-02-19",15.414,15.414,14.934,15.019,58117458,0
"2009-02-20",14.918,15.254,14.809,15.094,82775285,0
"2009-02-23",15.127,15.22,14.391,14.433,84404908,0
"2009-02-24",14.274,14.548,13.72,14.399,146261036,0
"2009-02-25",14.257,14.456,13.802,14.221,126167016,0
"2009-02-26",14.299,14.323,13.769,13.769,99201917,0
"2009-02-27",13.651,13.854,13.501,13.543,111393752,0
"2009-03-02",13.376,13.625,13.183,13.241,96080859,0
"2009-03-03",13.41,13.62,13.115,13.316,95247469,0
"2009-03-04",13.325,13.754,13.325,13.517,82095468,0
"2009-03-05",13.258,13.316,12.806,12.806,106481408,0
"2009-03-06",12.871,13.1,12.468,12.815,110681193,0
"2009-03-09",12.755,13.2,12.664,12.705,79281902,0
"2009-03-10",12.888,13.938,12.788,13.819,113507390,0
"2009-03-11",13.971,14.424,13.778,14.347,100792450,0
"2009-03-12",14.274,14.291,13.819,14.265,111732466,0
"2009-03-13",14.239,14.299,13.568,13.963,98937067,0
"2009-03-16",14.106,14.221,13.62,13.625,79931945,0
"2009-03-17",13.737,14.171,13.634,14.171,74720664,0
"2009-03-18",14.106,14.44,13.92,14.221,84338586,0
"2009-03-19",14.548,14.633,14.187,14.373,70351154,0
"2009-03-20",14.534,14.801,14.156,14.306,97474714,0
"2009-03-23",14.641,15.589,14.516,15.369,85382367,0
"2009-03-24",15.118,15.271,14.961,15.038,59683715,0
"2009-03-25",15.094,15.354,14.692,14.993,88159328,0
"2009-03-26",15.262,15.833,15.194,15.789,76053395,0
"2009-03-27",15.53,15.607,15.136,15.203,56847291,0
"2009-03-30",14.877,14.895,14.483,14.659,58949987,0
"2009-03-31",14.918,15.756,14.912,15.405,109816468,0
"2009-04-01",15.338,16.233,15.245,16.195,114635585,0
"2009-04-02",16.337,16.678,15.931,16.176,118115808,0
"2009-04-03",15.992,16.059,15.456,15.725,97100782,0
"2009-04-06",15.622,15.733,15.314,15.733,56510334,0
"2009-04-07",15.733,16.051,15.622,15.733,78453133,0
"2009-04-08",15.915,16.452,15.9,16.09,67056197,0
"2009-04-09",16.302,16.521,16.116,16.495,66330698,0
"2009-04-13",16.479,16.646,16.241,16.427,52960521,0
"2009-04-14",16.285,16.394,15.931,16.226,75806225,0
"2009-04-15",16.134,16.144,15.521,15.789,86462376,0
"2009-04-16",16.09,16.586,15.924,16.571,80697458,0
"2009-04-17",16.512,16.512,15.931,16.1,73165911,0
"2009-04-20",15.85,15.891,15.574,15.607,75051354,0
"2009-04-21",15.607,16.002,15.574,15.907,72549924,0
"2009-04-22",15.707,16.09,15.682,15.748,70573010,0
"2009-04-23",15.806,15.884,15.488,15.868,101554806,0
"2009-04-24",16.629,17.781,16.354,17.536,200017365,0
"2009-04-27",17.192,17.46,17.005,17.106,81125193,0
"2009-04-28",16.939,16.997,16.595,16.713,88598052,0
"2009-04-29",16.863,17.518,16.82,16.98,91635753,0
"2009-04-30",17.273,17.693,16.781,16.989,99809789,0
"2009-05-01",16.915,17.067,16.655,16.973,75297203,0
"2009-05-04",17.098,17.106,16.756,16.931,64768241,0
"2009-05-05",16.872,16.973,16.47,16.595,79698837,0
"2009-05-06",16.813,16.829,16.443,16.595,71086384,0
