"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",18.988,19.323,18.539,19.257,315518,0
"2009-01-05",19.237,19.456,18.818,19.41,619682,0
"2009-01-06",19.465,20.075,19.332,19.962,389130,0
"2009-01-07",19.589,19.819,19.305,19.666,363339,0
"2009-01-08",19.4,19.886,19.131,19.693,471381,0
"2009-01-09",19.599,19.599,18.751,18.799,369836,0
"2009-01-12",18.828,18.828,17.78,17.969,434973,0
"2009-01-13",17.904,18.286,17.78,18.054,383967,0
"2009-01-14",17.828,18.1,17.196,17.283,343657,0
"2009-01-15",17.263,17.331,16.796,17.263,439622,0
"2009-01-16",17.361,17.988,17.235,17.866,393601,0
"2009-01-20",17.721,17.894,16.816,16.874,264081,0
"2009-01-21",17.006,17.846,16.835,17.828,403726,0
"2009-01-22",17.52,17.53,16.777,17.157,252003,0
"2009-01-23",16.854,17.671,16.825,17.426,291981,0
"2009-01-26",17.361,18.296,17.361,18.09,264064,0
"2009-01-27",17.846,18.694,17.596,18.558,391142,0
"2009-01-28",18.876,19.475,18.722,19.418,393248,0
"2009-01-29",19.141,19.237,18.578,18.769,296789,0
"2009-01-30",18.978,19.179,18.465,18.558,344745,0
"2009-02-02",18.246,18.969,18.12,18.847,379505,0
"2009-02-03",18.847,18.942,18.549,18.779,493301,0
"2009-02-04",18.828,19.418,18.475,19.131,521227,0
"2009-02-05",17.837,20.209,17.436,18.838,1302853,0
"2009-02-06",18.761,20.933,18.761,20.474,790338,0
"2009-02-09",20.017,20.809,19.361,20.344,378559,0
"2009-02-10",20.344,20.762,19.475,19.523,357238,0
"2009-02-11",19.579,19.713,19.169,19.465,324491,0
"2009-02-12",19.285,20.017,18.96,19.979,302465,0
"2009-02-13",19.932,20.686,19.915,20.427,439786,0
"2009-02-17",19.839,19.979,18.751,19.209,434917,0
"2009-02-18",19.465,19.819,18.789,19.228,342769,0
"2009-02-19",18.933,19.561,18.597,18.664,383269,0
"2009-02-20",18.418,18.978,18.418,18.694,429807,0
"2009-02-23",18.732,19.025,17.77,17.846,535736,0
"2009-02-24",17.997,18.36,17.721,17.846,516197,0
"2009-02-25",17.73,18.217,17.539,17.866,599403,0
"2009-02-26",17.979,18.296,17.586,17.634,277812,0
"2009-02-27",17.416,18.11,17.379,17.493,569723,0
"2009-03-02",17.53,17.73,17.035,17.109,542633,0
"2009-03-03",17.273,17.379,16.854,16.913,329762,0
"2009-03-04",17.073,17.473,16.968,17.263,582129,0
"2009-03-05",16.997,17.539,16.835,17.293,677160,0
"2009-03-06",17.399,17.548,17.109,17.539,547862,0
"2009-03-09",17.313,17.464,16.884,16.922,600463,0
"2009-03-10",17.244,17.808,16.777,17.73,400253,0
"2009-03-11",17.75,18.886,17.75,18.606,491742,0
"2009-03-12",18.475,19.741,18.296,19.619,488832,0
"2009-03-13",19.666,20.16,19.371,20.027,244172,0
"2009-03-16",18.597,19.064,18.11,18.159,1049285,0
"2009-03-17",18.178,18.475,17.988,18.465,381885,0
"2009-03-18",18.484,18.578,18.314,18.53,535561,0
"2009-03-19",18.587,18.769,18.35,18.597,291573,0
"2009-03-20",18.779,18.866,17.548,17.596,382063,0
"2009-03-23",18.08,18.256,17.616,18.11,298405,0
"2009-03-24",17.846,17.997,17.493,17.503,288690,0
"2009-03-25",17.671,17.798,16.615,17.177,380884,0
"2009-03-26",17.225,17.969,16.96,17.894,268484,0
"2009-03-27",17.512,18.026,17.263,17.503,278687,0
"2009-03-30",17.273,17.273,16.672,16.96,327452,0
"2009-03-31",17.044,17.073,15.968,16.397,652381,0
"2009-04-01",16.235,16.913,16.138,16.825,227952,0
