"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",2.24,2.7,2.23,2.59,1691063,0
"2009-01-05",2.51,2.58,2.32,2.46,1575401,0
"2009-01-06",2.46,2.77,2.44,2.68,2660862,0
"2009-01-07",2.58,2.7,2.52,2.56,1513087,0
"2009-01-08",2.59,2.71,2.52,2.62,1140909,0
"2009-01-09",2.69,2.69,2.34,2.42,1864988,0
"2009-01-12",2.36,2.39,2.11,2.13,1591847,0
"2009-01-13",2.07,2.35,2.07,2.31,1275904,0
"2009-01-14",2.3,2.34,2.1,2.14,2204271,0
"2009-01-15",2.14,2.14,1.75,1.92,1732318,0
"2009-01-16",2,2.2,1.91,2.19,1845314,0
"2009-01-20",2.05,2.12,1.57,1.57,3074541,0
"2009-01-21",1.65,1.7,1.35,1.42,3375171,0
"2009-01-22",1.45,1.45,1.26,1.27,2447345,0
"2009-01-23",1.3,1.35,1.26,1.3,1659350,0
"2009-01-26",1.38,1.39,1.18,1.2,1550559,0
"2009-01-27",1.22,1.23,1.16,1.18,1135970,0
"2009-01-28",1.22,1.48,1.18,1.39,3898188,0
"2009-01-29",1.36,1.38,1.14,1.14,1990623,0
"2009-01-30",1.19,1.19,1.03,1.05,3726092,0
"2009-02-02",1.11,1.12,0.95,0.95,2794135,0
"2009-02-03",0.99,1.14,0.97,1.1,1800305,0
"2009-02-04",1.1,1.21,1.03,1.13,1229882,0
"2009-02-05",1.16,1.22,1.07,1.13,1139180,0
"2009-02-06",1.04,1.33,1.04,1.27,3099191,0
"2009-02-09",1.27,1.39,1.2,1.39,2106772,0
"2009-02-10",1.31,1.31,1.12,1.15,1800418,0
"2009-02-11",1.24,1.27,1.1,1.2,1603364,0
"2009-02-12",1.18,1.21,1.05,1.13,1764609,0
"2009-02-13",1.11,1.2,1.07,1.13,1202608,0
"2009-02-17",1.2,1.2,1,1,2223593,0
"2009-02-18",1.07,1.07,0.79,0.86,2004285,0
"2009-02-19",0.96,1.03,0.8,0.8,2224473,0
"2009-02-20",0.83,0.85,0.66,0.76,4712591,0
"2009-02-23",0.8,0.98,0.76,0.98,5047840,0
"2009-02-24",0.95,1.53,0.88,1.53,5481562,0
"2009-02-25",1.4,1.58,1.12,1.48,3344337,0
"2009-02-26",1.58,1.89,1.29,1.29,3867520,0
"2009-02-27",1.32,1.49,1.1,1.4,1688756,0
"2009-03-02",1.29,1.41,1,1.04,3372362,0
"2009-03-03",1.07,1.33,1.02,1.02,2623395,0
"2009-03-04",1.13,1.26,1.1,1.15,2571899,0
"2009-03-05",1.11,1.24,1.08,1.08,2314141,0
"2009-03-06",1.1,1.19,1,1.09,3336945,0
"2009-03-09",1.02,1.24,1.02,1.24,1585208,0
"2009-03-10",1.21,1.85,1.2,1.85,4828424,0
"2009-03-11",1.8,1.8,1.42,1.59,2758311,0
"2009-03-12",1.55,1.78,1.43,1.78,3161825,0
"2009-03-13",1.74,1.78,1.5,1.76,1575849,0
"2009-03-16",1.72,1.87,1.63,1.7,1947026,0
"2009-03-17",1.92,2.4,1.66,2.33,5830584,0
"2009-03-18",2.3,2.57,2.05,2.32,6351101,0
"2009-03-19",2.38,2.52,2.11,2.46,3961827,0
"2009-03-20",2.5,2.61,2.31,2.31,4106442,0
"2009-03-23",2.37,3.1,2.36,2.93,5839468,0
"2009-03-24",2.76,3.08,2.6,2.84,3751284,0
"2009-03-25",2.99,3.07,2.57,2.91,2928706,0
"2009-03-26",2.9,3.04,2.75,2.99,2696598,0
"2009-03-27",2.86,2.98,2.77,2.88,1706231,0
"2009-03-30",2.91,2.91,2.4,2.6,2665710,0
"2009-03-31",2.57,2.81,2.4,2.81,4509536,0
"2009-04-01",2.65,2.95,2.63,2.75,2200434,0
"2009-04-02",2.69,3.01,2.69,2.99,3619627,0
"2009-04-03",3,3.27,2.86,3.27,3396142,0
"2009-04-06",3.08,3.08,2.8,2.91,2560582,0
"2009-04-07",2.8,2.96,2.76,2.8,2020453,0
"2009-04-08",2.93,3.2,2.82,3.2,1815999,0
"2009-04-09",3.14,3.76,3.01,3.63,4470714,0
"2009-04-13",3.6,3.83,3.43,3.47,2785583,0
"2009-04-14",3.58,3.58,3.12,3.18,3026733,0
"2009-04-15",3.12,3.5,3.01,3.5,2800442,0
"2009-04-16",3.54,3.68,3.32,3.52,2452204,0
"2009-04-17",3.5,3.65,3.39,3.46,2199333,0
"2009-04-20",3.39,3.4,3.16,3.31,3786203,0
"2009-04-21",3.06,3.73,2.63,3.72,3937925,0
"2009-04-22",3.6,3.87,3.5,3.67,3127786,0
"2009-04-23",3.74,3.81,3.35,3.8,1777583,0
"2009-04-24",3.77,3.94,3.42,3.87,2856612,0
"2009-04-27",3.76,3.8,3.41,3.41,2463837,0
"2009-04-28",3.32,3.58,3.32,3.49,1281428,0
"2009-04-29",3.59,3.67,3.5,3.65,2201068,0
"2009-04-30",3.66,3.71,3.35,3.37,2225498,0
"2009-05-01",3.4,3.51,3.15,3.18,1791496,0
"2009-05-04",3.14,3.52,3.14,3.52,2682345,0
"2009-05-05",3.47,3.52,3.29,3.37,1461178,0
"2009-05-06",3.38,3.65,3.31,3.54,1853072,0
"2009-05-07",3.68,3.74,3.36,3.41,2454113,0
"2009-05-08",3.68,3.96,3.47,3.9,3320564,0
"2009-05-11",3.97,4.28,3.65,3.94,3345492,0
"2009-05-12",4.04,4.25,3.75,3.98,2613922,0
"2009-05-13",4,4.06,3.42,3.42,2737746,0
"2009-05-14",3.43,3.54,3.21,3.53,1888984,0
"2009-05-15",3.51,3.57,3.12,3.22,1812927,0
"2009-05-18",3.38,3.7,3.28,3.61,2999074,0
"2009-05-19",3.6,3.62,3.36,3.39,2095566,0
"2009-05-20",3.36,3.64,3.19,3.19,2083134,0
"2009-05-21",3.24,3.3,3.02,3.13,1432299,0
"2009-05-22",3.1,3.23,2.93,3.03,1435105,0
"2009-05-26",3,3.23,2.87,3.18,2201260,0
"2009-05-27",3.15,3.23,2.91,2.94,1596980,0
"2009-05-28",2.97,3.05,2.76,3,1671287,0
"2009-05-29",2.94,3.11,2.81,3.1,1768119,0
"2009-06-01",3.13,3.25,2.93,3.14,1860906,0
"2009-06-02",3.14,3.18,2.98,3.07,981127,0
"2009-06-03",3.02,3.1,2.85,2.85,1010471,0
"2009-06-04",2.89,3.05,2.85,3.02,1365441,0
"2009-06-05",2.99,3.09,2.9,2.97,1124192,0
"2009-06-08",2.86,2.99,2.85,2.87,505207,0
"2009-06-09",2.82,3.04,2.82,2.95,743518,0
"2009-06-10",2.95,3.02,2.89,2.94,1050312,0
"2009-06-11",2.94,3.04,2.9,3.03,826812,0
"2009-06-12",3.01,3.03,2.85,3.03,1118140,0
"2009-06-15",3,3.01,2.84,2.84,1235646,0
"2009-06-16",2.97,2.97,2.72,2.72,1053941,0
"2009-06-17",2.7,2.75,2.6,2.6,1035323,0
"2009-06-18",2.68,2.69,2.48,2.51,1495046,0
"2009-06-19",2.52,2.8,2.47,2.8,4170499,0
"2009-06-22",2.89,3,2.63,2.69,1424458,0
"2009-06-23",2.79,2.79,2.6,2.6,656959,0
"2009-06-24",2.61,2.67,2.56,2.64,597126,0
"2009-06-25",2.6,2.6,2.46,2.53,1117131,0
"2009-06-26",2.52,3,2.45,2.93,8975289,0
"2009-06-29",2.98,2.99,2.7,2.89,1023140,0
"2009-06-30",2.9,2.93,2.7,2.84,858973,0
"2009-07-01",2.89,2.93,2.74,2.79,824155,0
"2009-07-02",2.72,2.75,2.57,2.6,769608,0
"2009-07-06",2.6,2.6,2.45,2.57,708020,0
"2009-07-07",2.59,2.59,2.44,2.47,904145,0
"2009-07-08",2.48,2.48,2.27,2.35,824918,0
"2009-07-09",2.35,2.65,2.28,2.36,571143,0
"2009-07-10",2.35,2.39,2.25,2.29,510423,0
"2009-07-13",2.31,2.38,2.26,2.38,491420,0
"2009-07-14",2.36,2.43,2.18,2.23,818368,0
"2009-07-15",2.28,2.48,2.26,2.4,822403,0
"2009-07-16",2.38,2.38,2.25,2.33,388271,0
"2009-07-17",2.34,2.37,2.22,2.31,521782,0
"2009-07-20",2.27,2.55,2.27,2.53,689486,0
"2009-07-21",2.55,2.61,2.41,2.61,590918,0
"2009-07-22",2.48,2.86,2.48,2.83,767800,0
"2009-07-23",2.84,2.93,2.78,2.92,699923,0
"2009-07-24",2.91,2.97,2.88,2.93,340932,0
"2009-07-27",3,3,2.85,2.98,569061,0
"2009-07-28",2.94,3.03,2.84,3,442386,0
"2009-07-29",2.95,2.96,2.78,2.79,398782,0
"2009-07-30",2.86,3.05,2.86,3.01,623016,0
"2009-07-31",2.78,2.78,2.36,2.43,1997253,0
"2009-08-03",2.41,2.45,2.12,2.15,2147004,0
"2009-08-04",2.11,2.35,2.07,2.31,1099539,0
"2009-08-05",2.36,2.53,2.3,2.5,1289316,0
"2009-08-06",2.55,2.65,2.46,2.51,1146258,0
"2009-08-07",2.52,2.95,2.52,2.69,1815959,0
"2009-08-10",2.69,2.81,2.4,2.41,1556474,0
"2009-08-11",2.44,2.56,2.38,2.44,1046093,0
"2009-08-12",2.45,2.63,2.42,2.47,1244715,0
"2009-08-13",2.49,2.59,2.41,2.42,1077496,0
"2009-08-14",2.41,2.44,2.26,2.3,1365105,0
"2009-08-17",2.2,2.2,2.11,2.13,1103975,0
"2009-08-18",2.16,2.24,2.13,2.21,1505836,0
"2009-08-19",2.25,2.25,2.1,2.13,1276922,0
"2009-08-20",2.12,2.29,2.11,2.25,1168891,0
"2009-08-21",2.27,2.35,2.18,2.25,1453195,0
"2009-08-24",2.27,2.3,2.17,2.22,1562725,0
"2009-08-25",2.23,2.24,2.14,2.14,1229824,0
"2009-08-26",2.21,2.36,2.14,2.32,1690367,0
"2009-08-27",2.28,2.36,2.18,2.23,1926839,0
"2009-08-28",2.3,2.34,2.2,2.22,940248,0
"2009-08-31",2.2,2.22,2.11,2.11,1481044,0
"2009-09-01",2.1,2.19,2.07,2.14,1255037,0
"2009-09-02",2.12,2.15,2.09,2.09,754758,0
"2009-09-03",2.1,2.16,2.04,2.06,726365,0
"2009-09-04",2.03,2.08,1.95,2.04,866344,0
"2009-09-08",2.1,2.14,2.01,2.08,486072,0
"2009-09-09",2.08,2.19,2.03,2.18,1114434,0
"2009-09-10",2.19,2.36,2.1,2.35,1012572,0
