"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",4.1701,4.9286,4.1619,4.8357,5809569,0
"2009-01-05",4.9369,5.9898,4.9286,5.7455,13157059,0
"2009-01-06",6.3017,6.3017,5.5351,5.8046,11105359,0
"2009-01-07",5.6781,5.6781,5.2063,5.3243,6875038,0
"2009-01-08",5.0719,5.3243,4.8022,5.2992,7072606,0
"2009-01-09",5.1811,5.3159,4.9369,4.9453,4322902,0
"2009-01-12",4.76,4.8022,4.3556,4.5746,6203636,0
"2009-01-13",4.3977,4.7768,4.3639,4.5323,5187003,0
"2009-01-14",4.3133,4.3474,3.8587,3.8921,5726175,0
"2009-01-15",3.8921,3.9512,3.3869,3.7742,9106530,0
"2009-01-16",4.2041,4.2041,3.5975,3.9343,5609377,0
"2009-01-20",3.9343,4.0776,3.5804,3.6648,3790310,0
"2009-01-21",3.7997,3.8247,3.4204,3.7912,5202371,0
"2009-01-22",3.6394,3.7068,3.4795,3.5299,3059491,0
"2009-01-23",3.4541,3.9848,3.4118,3.8163,4502271,0
"2009-01-26",3.8921,4.2041,3.7912,3.867,4326703,0
"2009-01-27",3.8921,4.0439,3.8163,3.8416,1994660,0
"2009-01-28",4.0944,4.2964,4.0101,4.1197,4079315,0
"2009-01-29",4.0944,4.0944,3.5637,3.589,4946041,0
"2009-01-30",3.6899,3.6899,3.1425,3.2183,7861623,0
"2009-02-02",3.1086,3.3194,3.0076,3.0581,4047817,0
"2009-02-03",3.1677,3.2014,2.9655,3.0836,4110733,0
"2009-02-04",3.1086,3.429,3.1086,3.2014,4717910,0
"2009-02-05",3.2014,3.4624,3.1002,3.4204,3688374,0
"2009-02-06",3.4204,3.9512,3.4204,3.6648,9292000,0
"2009-02-09",3.7742,4.0017,3.6899,3.7912,4101886,0
"2009-02-10",3.8502,3.9428,3.3025,3.3783,5690392,0
"2009-02-11",3.4961,3.5551,3.336,3.3869,4077710,0
"2009-02-12",3.3869,3.5215,3.2435,3.4035,3800530,0
"2009-02-13",3.4373,3.5215,3.3531,3.3783,3005457,0
"2009-02-17",3.0667,3.0667,2.8308,2.9232,5008014,0
"2009-02-18",3.1929,3.1929,2.6116,2.7969,4804040,0
"2009-02-19",2.9401,2.9486,2.6201,2.679,3938451,0
"2009-02-20",2.6116,2.6452,2.3421,2.5696,4583530,0
"2009-02-23",2.6537,2.7212,2.4936,2.5864,4767917,0
"2009-02-24",2.6537,2.7466,2.4096,2.7212,4872038,0
"2009-02-25",2.7212,2.8558,2.6452,2.7379,3778723,0
"2009-02-26",2.8308,3.3615,2.8308,3.0329,6511262,0
"2009-02-27",2.9822,3.0413,2.8222,2.9066,2706504,0
"2009-03-02",2.7466,2.7634,2.46,2.5696,5725453,0
