"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",21.081,21.578,20.494,21.458,2261729,0
"2009-01-05",21.101,22.442,21.101,22.045,3637570,0
"2009-01-06",22.362,22.652,21.738,22.372,3471867,0
"2009-01-07",21.728,21.965,20.226,20.564,6843873,0
"2009-01-08",20.067,21.698,19.998,21.568,3919290,0
"2009-01-09",21.378,21.568,19.948,20.594,5130372,0
"2009-01-12",21.071,21.071,19.133,19.401,2869430,0
"2009-01-13",19.024,19.918,18.814,19.321,3401611,0
"2009-01-14",19.084,19.232,18.267,18.557,2707855,0
"2009-01-15",18.497,19.421,17.85,18.616,3704047,0
"2009-01-16",19.004,19.311,17.89,18.994,3553191,0
"2009-01-20",18.924,18.924,17.572,17.582,4192954,0
"2009-01-21",17.771,18.189,16.817,18.159,3637944,0
"2009-01-22",17.86,18.199,17.304,17.672,6097968,0
"2009-01-23",16.738,18.357,16.728,17.801,3488257,0
"2009-01-26",17.791,19.252,17.443,18.307,4353175,0
"2009-01-27",18.149,18.735,17.85,18.049,1989733,0
"2009-01-28",18.487,19.729,18.487,19.182,4594997,0
"2009-01-29",18.884,19.281,17.542,17.742,4072192,0
"2009-01-30",17.84,17.84,16.708,16.917,4907610,0
"2009-02-02",16.767,17.265,16.41,16.877,3776627,0
"2009-02-03",17.235,18.109,16.807,17.95,4072995,0
"2009-02-04",17.821,18.557,17.483,17.652,2725392,0
"2009-02-05",17.324,18.297,17.205,18.079,5275176,0
"2009-02-06",18.139,20.832,17.9,19.759,9103418,0
"2009-02-09",19.778,20.047,19.054,19.709,4026794,0
"2009-02-10",19.381,20.534,18.249,18.467,5166435,0
"2009-02-11",17.9,18.626,17.532,18.259,4839616,0
"2009-02-12",17.662,18.377,17.125,18.347,4358958,0
"2009-02-13",17.91,18.994,17.562,18.636,3729808,0
"2009-02-17",18.337,18.337,17.473,17.791,3524486,0
"2009-02-18",18.249,18.377,16.37,17.055,7309953,0
"2009-02-19",17.065,17.542,15.605,15.664,5365672,0
"2009-02-20",15.355,16.469,15.178,15.982,6385428,0
"2009-02-23",16.221,16.698,15.783,15.843,4566946,0
"2009-02-24",16.012,17.592,15.853,16.946,6644871,0
"2009-02-25",16.767,17.095,16.002,16.628,4528722,0
"2009-02-26",16.787,17.165,16.091,16.28,4276568,0
