"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-05",4.75,4.75,4.75,4.75,200,0
"2009-01-07",6,6,6,6,20,0
"2009-01-12",4.75,4.75,4.75,4.75,400,0
"2009-01-26",2.75,2.75,2.75,2.75,60,0
"2009-01-30",3.75,3.75,3.75,3.75,200,0
"2009-02-02",4,4,3.75,3.75,680,0
"2009-02-04",2.6,2.6,2.6,2.6,20,0
"2009-02-05",2.55,2.55,2.55,2.55,100,0
"2009-02-09",4,4,4,4,120,0
"2009-02-11",4,4,4,4,40,0
"2009-02-26",5,5,5,5,400,0
"2009-02-27",5,5,5,5,60,0
"2009-03-03",5,5,5,5,540,0
"2009-03-09",2.25,4.5,2.25,4.5,1180,0
"2009-03-10",3.25,5,3.25,5,60,0
"2009-03-13",3.25,3.25,3.25,3.25,2020,0
"2009-03-17",2.25,3.25,2.25,3.25,140,0
"2009-03-20",6,6,6,6,240,0
"2009-03-25",2.55,5,2.55,5,600,0
"2009-03-31",5,5,5,5,20,0
"2009-04-15",2.5,5.05,2.5,5.05,120,0
"2009-04-16",2.5,5.05,2.5,5.05,40,0
"2009-05-04",5.05,5.05,5.05,5.05,20,0
"2009-05-08",3.25,5.05,3.25,5.05,240,0
"2009-05-11",7.2,7.2,7.2,7.2,80,0
"2009-05-19",3.25,6.25,3.25,6.25,60,0
"2009-05-28",4.5,5.5,4.5,5.5,40,0
"2009-05-29",4.5,5.5,4.5,5.5,520,0
"2009-06-02",4.05,4.05,3.25,3.25,40,0
"2009-06-04",3.25,5.25,3.25,5.25,40,0
"2009-06-05",5.5,5.5,5.5,5.5,20,0
"2009-06-08",3.25,7.15,3.25,7.15,120,0
"2009-06-09",7.15,7.15,7.1,7.1,280,0
"2009-06-10",5.75,7,5.3,7,220,0
"2009-06-11",5.3,6.9,5.3,6.9,100,0
"2009-06-15",5.3,6.9,5.3,6.85,120,0
"2009-06-17",5.3,5.3,5.3,5.3,200,0
"2009-06-18",5.55,5.55,5.55,5.55,20,0
"2009-06-19",5.25,5.25,5,5,200,0
"2009-06-22",5.55,5.55,5.55,5.55,20,0
"2009-06-23",4,4,4,4,400,0
"2009-06-24",5.5,5.5,5.5,5.5,40,0
"2009-06-30",5.5,5.5,5.5,5.5,20,0
"2009-07-02",3.5,5.5,3.5,5.5,80,0
"2009-07-07",3.75,5.5,3.75,5.5,1620,0
"2009-07-09",4,4,4,4,20,0
"2009-07-10",5.5,5.5,5.5,5.5,20,0
"2009-07-24",5.25,5.55,5.25,5.55,820,0
"2009-07-28",7,7,6,6,960,0
"2009-07-29",5.75,5.75,5.75,5.75,600,0
"2009-07-31",7,7,7,7,220,0
"2009-08-03",5.75,7,2.75,6.75,1000,0
"2009-08-05",3.8,7,3.8,7,220,0
"2009-08-11",6.2,7,6.15,7,1440,0
"2009-08-14",4.1,7,4.1,7,100,0
"2009-08-17",4.1,7,4.1,7,520,0
"2009-08-18",4.15,5.6,4.15,5.6,100,0
"2009-08-24",4.15,5.1,4.1,4.1,1080,0
"2009-08-25",5.6,5.6,4.2,4.2,280,0
"2009-08-28",4.25,4.25,4.25,4.25,20,0
"2009-09-02",4.25,4.25,4.25,4.25,20,0
"2009-09-09",5.75,5.75,5.75,5.75,160,0
"2009-09-10",4.25,4.25,4.25,4.25,20,0
"2009-09-22",4.35,4.35,4.35,4.35,3140,0
"2009-09-29",4.35,4.75,4.35,4.75,1000,0
"2009-09-30",4.75,4.75,4.75,4.75,120,0
"2009-10-01",4.35,4.55,4.35,4.35,1820,0
"2009-10-06",4.3,4.3,4.3,4.3,20,0
"2009-10-15",4.3,4.3,4.3,4.3,20,0
"2009-10-16",4.3,4.3,4.3,4.3,40,0
"2009-10-19",4.3,4.3,4.3,4.3,20,0
"2009-10-20",4.3,4.3,4.3,4.3,20,0
"2009-10-21",5.05,5.05,5.05,5.05,20,0
"2009-10-23",4.3,4.5,2.55,3.75,2120,0
"2009-10-27",5.05,6.95,5.05,6.95,600,0
"2009-11-17",6.95,6.95,6.95,6.95,620,0
"2009-11-18",3.2,5,3.2,5,380,0
"2009-11-19",5,5.05,5,5.05,320,0
"2009-11-20",5.05,5.05,5,5,120,0
"2009-11-24",5,5,5,5,400,0
"2009-11-25",5,6.75,5,6.75,280,0
"2009-12-01",5,7,5,7,240,0
"2009-12-07",5,7,5,7,520,0
"2009-12-08",5,5,5,5,200,0
"2009-12-09",5.55,7,5.05,7,220,0
"2009-12-18",5,6.25,5,6.25,140,0
"2009-12-22",5.6,7,5.6,7,140,0
"2009-12-24",5.05,7,5.05,7,80,0
"2009-12-30",5.1,5.5,5.1,5.1,1740,0
"2009-12-31",6.25,6.25,5.1,6.25,600,0
