"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",7.6485,8.2079,7.6088,8.1948,200107,0
"2009-01-05",8.2742,8.5819,8.1308,8.5684,153566,0
"2009-01-06",8.916,8.9522,8.3553,8.6424,161437,0
"2009-01-07",8.5178,8.6009,8.3616,8.3836,138343,0
"2009-01-08",8.3755,8.4344,8.2079,8.4344,121932,0
"2009-01-09",8.4271,8.4474,8.2874,8.4085,118930,0
"2009-01-12",8.4148,8.4344,8.3616,8.4344,131456,0
"2009-01-13",8.493,8.493,8.2742,8.2942,161125,0
"2009-01-14",8.2874,8.2942,8.046,8.1308,232172,0
"2009-01-15",8.1384,8.1384,7.8101,8.1308,143991,0
"2009-01-16",8.3423,8.3498,8.0923,8.2079,257748,0
"2009-01-20",8.2874,8.3133,7.9833,8.0284,140207,0
"2009-01-21",8.0999,8.2942,8.0345,8.2942,102673,0
"2009-01-22",8.2814,8.8037,8.1246,8.3352,239555,0
"2009-01-23",8.1948,8.4085,8.1308,8.3498,56852,0
"2009-01-26",8.4025,8.6501,8.2874,8.4557,94793,0
"2009-01-27",8.5443,8.665,8.4474,8.665,114222,0
"2009-01-28",8.6612,8.9234,8.6612,8.8778,223043,0
"2009-01-29",8.7697,8.8037,8.5576,8.5945,128125,0
"2009-01-30",8.7762,8.7762,8.3498,8.3966,147042,0
"2009-02-02",8.3248,8.3966,8.2213,8.3966,274362,0
"2009-02-03",8.4557,8.5108,8.3498,8.493,101208,0
"2009-02-04",8.4025,8.5819,8.3616,8.3836,117055,0
"2009-02-05",8.3616,8.4202,8.2145,8.4202,103789,0
"2009-02-06",8.4557,8.6612,8.4271,8.6301,56184,0
"2009-02-09",8.5503,8.6851,8.5443,8.656,78877,0
"2009-02-10",8.656,8.656,8.2814,8.3684,296814,0
"2009-02-11",8.2742,8.3248,8.1384,8.1704,214032,0
"2009-02-12",8.1308,8.1308,7.8286,7.97,190489,0
"2009-02-13",7.9057,7.9508,7.7831,7.8352,79731,0
"2009-02-17",7.7116,7.7116,7.3449,7.3509,90552,0
"2009-02-18",7.4413,7.4413,6.8994,6.9063,214302,0
"2009-02-19",6.8933,6.9709,6.6479,6.6867,166943,0
"2009-02-20",6.5127,6.6223,6.0424,6.5192,219376,0
"2009-02-23",6.4937,6.5837,6.1195,6.2997,161062,0
"2009-02-24",6.242,6.5642,6.1067,6.5257,170054,0
"2009-02-25",6.3837,6.6031,6.3837,6.5257,79076,0
"2009-02-26",6.4871,6.6867,6.4871,6.5257,109785,0
"2009-02-27",6.3453,6.6802,6.2939,6.3644,189940,0
"2009-03-02",6.3516,6.3516,5.7197,5.7776,210913,0
"2009-03-03",5.9062,5.9062,5.3973,5.4294,145571,0
"2009-03-04",5.3774,5.7842,5.2362,5.7842,127443,0
"2009-03-05",5.6746,5.7197,5.3973,5.4163,121602,0
"2009-03-06",5.4618,5.5262,4.9914,5.0877,118155,0
"2009-03-09",4.9715,5.0746,4.7462,4.7976,183521,0
"2009-03-10",5.0746,5.3973,4.8554,5.3973,168958,0
"2009-03-11",5.3973,5.6549,5.3973,5.6037,186206,0
"2009-03-12",5.649,5.8615,5.6037,5.7842,203423,0
"2009-03-13",5.8747,5.9062,5.8032,5.8874,78063,0
"2009-03-16",5.8679,6.0226,5.8553,5.926,109779,0
"2009-03-17",5.9001,6.0617,5.9001,6.0483,51306,0
"2009-03-18",5.9707,6.4223,5.9707,6.3581,122614,0
"2009-03-19",6.3837,6.4998,6.3775,6.3837,154701,0
"2009-03-20",6.4937,6.5451,6.3581,6.3904,87543,0
"2009-03-23",6.5192,6.6674,6.5192,6.6674,164192,0
"2009-03-24",6.6932,6.7965,6.5964,6.7125,168621,0
"2009-03-25",6.7449,6.8031,6.5706,6.7255,203359,0
"2009-03-26",6.8419,6.9256,6.7449,6.861,139909,0
"2009-03-27",6.8868,7.0089,6.8224,6.9641,131870,0
"2009-03-30",6.9447,6.9447,6.7063,6.758,106834,0
"2009-03-31",6.8419,6.9966,6.8419,6.9256,70032,0
"2009-04-01",6.8479,7.2606,6.8095,7.2606,195601,0
"2009-04-02",7.4675,7.6279,7.3251,7.5767,117182,0
"2009-04-03",7.5064,7.5955,7.3638,7.5185,142874,0
"2009-04-06",7.5831,7.5831,7.3896,7.4021,75715,0
"2009-04-07",7.1964,7.4541,7.113,7.1964,119017,0
"2009-04-08",7.1514,7.3058,7.125,7.1514,123320,0
"2009-04-09",7.2606,7.4089,7.0089,7.0477,179296,0
"2009-04-13",6.9321,7.2031,6.6613,6.977,315542,0
"2009-04-14",7.0418,7.0418,6.9063,6.9321,95017,0
"2009-04-15",6.8933,6.9966,6.8419,6.8739,153806,0
